"idno"	"chip_meth"	"pos_meth"	"site"	"bcell"	"tcell"	"nkcell"	"neutro"
4013069	6229017126	"R06"	"COL"	0.439085194016909	0.00363025574338971	0.136164220332557	0.225492460300791
4013093	5854945029	"R01"	"COL"	0.0637921097243834	0.00195058517555269	0.268753723663543	0.194331446636519
4013123	7507867012	"R04"	"COL"	0.0643631347692308	0.189856957087126	0.197042734116882	0.18415416951261
4013140	6229025162	"R04"	"COL"	0.0845593830885237	0.00346770697876031	0.0571413096463197	0.261924188258713
4013158	5859594016	"R06"	"COL"	0.0928196469349669	0	0.0961923847695391	0.258725285166185
4013166	7810920051	"R01"	"COL"	0.105625492531836	0.00839835283918511	0.173807073606673	0.200754797637287
4013174	6229017153	"R01"	"COL"	0.105854309669761	0.0006501950585176	0.0983588799220062	0.241945224393603
4013212	5859594022	"R03"	"COL"	0.152460930153566	0.00200476809709582	0.28576071061041	0.304382863033759
4013247	6055574024	"R01"	"COL"	0.0862305936295943	0.00438881664499347	0.0787266017648485	0.178388384213117
4013271	5859594026	"R02"	"COL"	0.111892849995353	0.0120286085825748	0.128310675404864	0.23814486147183
4013298	7810920037	"R06"	"COL"	0.118556075218896	0.24013870827915	0.253642419975085	0.157435101051886
4013344	6229017163	"R06"	"COL"	0.125616078449279	0.005418292154313	0.329903049341927	0.203240641505127
4013476	5854945022	"R04"	"COL"	0.0652079905552865	0.00487646293888166	0.077398039321887	0.199555593847881
4013484	5806361015	"R02"	"COL"	0.174690629779971	0.000704377980060733	0.0803228077777176	0.211767369406547
4013492	6229025008	"R05"	"COL"	0.0676577081147433	0.00633940182054615	0.185939681905857	0.26284467638321
4013506	5806361045	"R02"	"COL"	0.175366037449141	0.00482228001733853	0.0808768989849263	0.226490991998332
4013522	7507867013	"R02"	"COL"	0.551965714533154	0.00341352405721718	0.0490169528245681	0.16883164562164
4013530	5854671024	"R01"	"COL"	0.321157598092348	0.154204594711747	0.190597411038293	0.160780730708074
4013590	6229017156	"R03"	"COL"	0.118885557255006	0.000975292587776289	0.217407788550073	0.208126754931949
4013603	6190773037	"R02"	"COL"	0.109687767863154	0.000596012136974466	0.228836050479337	0.233705064567655
4013611	6229033043	"R02"	"COL"	0.0640691321828095	0.000108365843086267	0.169365758544115	0.126733488387579
4013654	6229025010	"R05"	"COL"	0.07780713081647	0.216612781858664	0.0961893551061719	0.172118329165211
4013662	6190773029	"R06"	"COL"	0.0394263448800943	0.00568920676202855	0.136766619971093	0.202566720578936
4013697	5854671024	"R02"	"COL"	0.104642085270447	0.022973558734287	0.109131667689082	0.206614566782171
4013719	5854945034	"R02"	"COL"	0.0767283322245171	0.0224859124403988	0.314141797107729	0.204840557043713
